1000 frames played: 0 wins, 0 losses, 0 draws, 640 terminations, 11 legal NN moves.
2000 frames played: 0 wins, 0 losses, 0 draws, 1267 terminations, 62 legal NN moves.
3000 frames played: 0 wins, 0 losses, 0 draws, 1923 terminations, 109 legal NN moves.
4000 frames played: 0 wins, 0 losses, 0 draws, 2629 terminations, 123 legal NN moves.
5000 frames played: 0 wins, 0 losses, 0 draws, 3365 terminations, 149 legal NN moves.
6000 frames played: 0 wins, 0 losses, 0 draws, 4140 terminations, 162 legal NN moves.
7000 frames played: 0 wins, 0 losses, 0 draws, 4924 terminations, 176 legal NN moves.
8000 frames played: 0 wins, 0 losses, 0 draws, 5716 terminations, 205 legal NN moves.
9000 frames played: 0 wins, 0 losses, 0 draws, 6526 terminations, 224 legal NN moves.
10000 frames played: 0 wins, 0 losses, 0 draws, 7341 terminations, 251 legal NN moves.
11000 frames played: 0 wins, 0 losses, 0 draws, 8219 terminations, 266 legal NN moves.
12000 frames played: 1 wins, 0 losses, 0 draws, 8941 terminations, 437 legal NN moves.
13000 frames played: 1 wins, 0 losses, 0 draws, 9684 terminations, 592 legal NN moves.
14000 frames played: 1 wins, 0 losses, 0 draws, 10550 terminations, 641 legal NN moves.
15000 frames played: 1 wins, 0 losses, 0 draws, 11466 terminations, 641 legal NN moves.
16000 frames played: 1 wins, 0 losses, 0 draws, 12385 terminations, 651 legal NN moves.
17000 frames played: 1 wins, 0 losses, 0 draws, 13291 terminations, 665 legal NN moves.
18000 frames played: 1 wins, 0 losses, 0 draws, 14198 terminations, 697 legal NN moves.
19000 frames played: 1 wins, 0 losses, 0 draws, 15101 terminations, 732 legal NN moves.
20000 frames played: 1 wins, 0 losses, 0 draws, 16043 terminations, 736 legal NN moves.
21000 frames played: 1 wins, 0 losses, 0 draws, 16973 terminations, 758 legal NN moves.
22000 frames played: 1 wins, 0 losses, 0 draws, 17897 terminations, 787 legal NN moves.
23000 frames played: 1 wins, 0 losses, 0 draws, 18820 terminations, 822 legal NN moves.
24000 frames played: 1 wins, 0 losses, 0 draws, 19686 terminations, 905 legal NN moves.
25000 frames played: 1 wins, 0 losses, 0 draws, 20635 terminations, 922 legal NN moves.
26000 frames played: 1 wins, 0 losses, 0 draws, 21566 terminations, 956 legal NN moves.
27000 frames played: 1 wins, 0 losses, 0 draws, 22502 terminations, 995 legal NN moves.
28000 frames played: 1 wins, 0 losses, 0 draws, 23455 terminations, 1026 legal NN moves.
29000 frames played: 1 wins, 0 losses, 0 draws, 24407 terminations, 1051 legal NN moves.
30000 frames played: 1 wins, 0 losses, 0 draws, 25353 terminations, 1084 legal NN moves.
31000 frames played: 1 wins, 0 losses, 0 draws, 26323 terminations, 1097 legal NN moves.
32000 frames played: 1 wins, 0 losses, 0 draws, 27279 terminations, 1119 legal NN moves.
33000 frames played: 1 wins, 0 losses, 0 draws, 28263 terminations, 1131 legal NN moves.
34000 frames played: 1 wins, 0 losses, 0 draws, 29232 terminations, 1154 legal NN moves.
35000 frames played: 1 wins, 0 losses, 0 draws, 30171 terminations, 1206 legal NN moves.
36000 frames played: 1 wins, 0 losses, 0 draws, 31135 terminations, 1227 legal NN moves.
37000 frames played: 1 wins, 0 losses, 0 draws, 32039 terminations, 1306 legal NN moves.
38000 frames played: 1 wins, 0 losses, 0 draws, 33012 terminations, 1322 legal NN moves.
39000 frames played: 1 wins, 0 losses, 0 draws, 33954 terminations, 1367 legal NN moves.
40000 frames played: 1 wins, 0 losses, 0 draws, 34920 terminations, 1394 legal NN moves.
41000 frames played: 1 wins, 0 losses, 0 draws, 35891 terminations, 1416 legal NN moves.
42000 frames played: 1 wins, 0 losses, 0 draws, 36861 terminations, 1444 legal NN moves.
43000 frames played: 1 wins, 0 losses, 0 draws, 37807 terminations, 1487 legal NN moves.
44000 frames played: 1 wins, 0 losses, 0 draws, 38763 terminations, 1521 legal NN moves.
45000 frames played: 1 wins, 0 losses, 0 draws, 39737 terminations, 1543 legal NN moves.
46000 frames played: 1 wins, 0 losses, 0 draws, 40698 terminations, 1576 legal NN moves.
47000 frames played: 1 wins, 0 losses, 0 draws, 41671 terminations, 1600 legal NN moves.
48000 frames played: 1 wins, 0 losses, 0 draws, 42653 terminations, 1615 legal NN moves.
49000 frames played: 1 wins, 0 losses, 0 draws, 43628 terminations, 1639 legal NN moves.
50000 frames played: 1 wins, 0 losses, 0 draws, 44606 terminations, 1659 legal NN moves.
51000 frames played: 1 wins, 0 losses, 0 draws, 45580 terminations, 1684 legal NN moves.
52000 frames played: 1 wins, 0 losses, 0 draws, 46515 terminations, 1747 legal NN moves.
53000 frames played: 1 wins, 0 losses, 0 draws, 47496 terminations, 1766 legal NN moves.
54000 frames played: 1 wins, 0 losses, 0 draws, 48473 terminations, 1788 legal NN moves.
55000 frames played: 1 wins, 0 losses, 0 draws, 49424 terminations, 1836 legal NN moves.
56000 frames played: 1 wins, 0 losses, 0 draws, 50379 terminations, 1880 legal NN moves.
57000 frames played: 1 wins, 0 losses, 0 draws, 51340 terminations, 1919 legal NN moves.
58000 frames played: 1 wins, 0 losses, 0 draws, 52314 terminations, 1944 legal NN moves.
59000 frames played: 1 wins, 0 losses, 0 draws, 53300 terminations, 1958 legal NN moves.
60000 frames played: 1 wins, 0 losses, 0 draws, 54286 terminations, 1971 legal NN moves.
61000 frames played: 1 wins, 0 losses, 0 draws, 55285 terminations, 1971 legal NN moves.
62000 frames played: 1 wins, 0 losses, 0 draws, 56270 terminations, 1986 legal NN moves.
63000 frames played: 1 wins, 0 losses, 0 draws, 57265 terminations, 1990 legal NN moves.
64000 frames played: 1 wins, 0 losses, 0 draws, 58254 terminations, 1998 legal NN moves.
65000 frames played: 1 wins, 0 losses, 0 draws, 59245 terminations, 2007 legal NN moves.
66000 frames played: 1 wins, 0 losses, 0 draws, 60228 terminations, 2024 legal NN moves.
