1000 frames played: 0 wins, 0 losses, 0 draws, 602 terminations, 44 legal NN moves.
2000 frames played: 0 wins, 0 losses, 0 draws, 1239 terminations, 66 legal NN moves.
3000 frames played: 0 wins, 1 losses, 0 draws, 1878 terminations, 131 legal NN moves.
4000 frames played: 0 wins, 1 losses, 0 draws, 2488 terminations, 240 legal NN moves.
5000 frames played: 0 wins, 1 losses, 0 draws, 3191 terminations, 300 legal NN moves.
6000 frames played: 0 wins, 1 losses, 0 draws, 3978 terminations, 300 legal NN moves.
7000 frames played: 0 wins, 1 losses, 0 draws, 4761 terminations, 329 legal NN moves.
8000 frames played: 0 wins, 1 losses, 0 draws, 5502 terminations, 418 legal NN moves.
9000 frames played: 0 wins, 1 losses, 0 draws, 6296 terminations, 460 legal NN moves.
10000 frames played: 0 wins, 1 losses, 0 draws, 7088 terminations, 539 legal NN moves.
11000 frames played: 0 wins, 1 losses, 0 draws, 7923 terminations, 585 legal NN moves.
12000 frames played: 0 wins, 1 losses, 0 draws, 8790 terminations, 600 legal NN moves.
13000 frames played: 0 wins, 1 losses, 0 draws, 9683 terminations, 601 legal NN moves.
14000 frames played: 0 wins, 1 losses, 0 draws, 10575 terminations, 615 legal NN moves.
15000 frames played: 0 wins, 1 losses, 0 draws, 11497 terminations, 616 legal NN moves.
16000 frames played: 0 wins, 1 losses, 0 draws, 12393 terminations, 617 legal NN moves.
17000 frames played: 0 wins, 1 losses, 0 draws, 13301 terminations, 640 legal NN moves.
18000 frames played: 0 wins, 1 losses, 0 draws, 14218 terminations, 646 legal NN moves.
19000 frames played: 0 wins, 1 losses, 0 draws, 15164 terminations, 648 legal NN moves.
20000 frames played: 0 wins, 1 losses, 0 draws, 16113 terminations, 656 legal NN moves.
21000 frames played: 0 wins, 1 losses, 0 draws, 17046 terminations, 673 legal NN moves.
22000 frames played: 0 wins, 1 losses, 0 draws, 17992 terminations, 685 legal NN moves.
23000 frames played: 0 wins, 1 losses, 0 draws, 18922 terminations, 706 legal NN moves.
24000 frames played: 0 wins, 1 losses, 0 draws, 19862 terminations, 716 legal NN moves.
25000 frames played: 0 wins, 1 losses, 0 draws, 20833 terminations, 719 legal NN moves.
26000 frames played: 0 wins, 1 losses, 0 draws, 21797 terminations, 730 legal NN moves.
27000 frames played: 0 wins, 1 losses, 0 draws, 22751 terminations, 748 legal NN moves.
28000 frames played: 0 wins, 1 losses, 0 draws, 23726 terminations, 749 legal NN moves.
29000 frames played: 0 wins, 1 losses, 0 draws, 24695 terminations, 759 legal NN moves.
30000 frames played: 0 wins, 1 losses, 0 draws, 25623 terminations, 807 legal NN moves.
31000 frames played: 0 wins, 1 losses, 0 draws, 26594 terminations, 819 legal NN moves.
32000 frames played: 0 wins, 1 losses, 0 draws, 27576 terminations, 823 legal NN moves.
33000 frames played: 0 wins, 1 losses, 0 draws, 28544 terminations, 835 legal NN moves.
34000 frames played: 0 wins, 1 losses, 0 draws, 29517 terminations, 852 legal NN moves.
35000 frames played: 0 wins, 1 losses, 0 draws, 30489 terminations, 871 legal NN moves.
36000 frames played: 0 wins, 1 losses, 0 draws, 31472 terminations, 878 legal NN moves.
37000 frames played: 0 wins, 1 losses, 0 draws, 32439 terminations, 900 legal NN moves.
38000 frames played: 0 wins, 1 losses, 0 draws, 33425 terminations, 910 legal NN moves.
39000 frames played: 0 wins, 1 losses, 0 draws, 34398 terminations, 927 legal NN moves.
40000 frames played: 0 wins, 1 losses, 0 draws, 35375 terminations, 940 legal NN moves.
41000 frames played: 0 wins, 1 losses, 0 draws, 36357 terminations, 950 legal NN moves.
42000 frames played: 0 wins, 1 losses, 0 draws, 37306 terminations, 993 legal NN moves.
43000 frames played: 0 wins, 1 losses, 0 draws, 38264 terminations, 1029 legal NN moves.
44000 frames played: 0 wins, 1 losses, 0 draws, 39232 terminations, 1060 legal NN moves.
45000 frames played: 0 wins, 1 losses, 0 draws, 40217 terminations, 1069 legal NN moves.
46000 frames played: 0 wins, 1 losses, 0 draws, 41188 terminations, 1092 legal NN moves.
47000 frames played: 0 wins, 1 losses, 0 draws, 42179 terminations, 1098 legal NN moves.
48000 frames played: 0 wins, 1 losses, 0 draws, 43174 terminations, 1098 legal NN moves.
49000 frames played: 0 wins, 1 losses, 0 draws, 44150 terminations, 1117 legal NN moves.
50000 frames played: 0 wins, 1 losses, 0 draws, 45099 terminations, 1163 legal NN moves.
51000 frames played: 0 wins, 1 losses, 0 draws, 46083 terminations, 1176 legal NN moves.
52000 frames played: 0 wins, 1 losses, 0 draws, 47052 terminations, 1207 legal NN moves.
53000 frames played: 0 wins, 1 losses, 0 draws, 48026 terminations, 1230 legal NN moves.
54000 frames played: 0 wins, 1 losses, 0 draws, 49014 terminations, 1240 legal NN moves.
55000 frames played: 0 wins, 1 losses, 0 draws, 50003 terminations, 1250 legal NN moves.
56000 frames played: 0 wins, 1 losses, 0 draws, 50991 terminations, 1260 legal NN moves.
57000 frames played: 0 wins, 1 losses, 0 draws, 51957 terminations, 1292 legal NN moves.
58000 frames played: 0 wins, 1 losses, 0 draws, 52913 terminations, 1335 legal NN moves.
59000 frames played: 0 wins, 1 losses, 0 draws, 53894 terminations, 1354 legal NN moves.
60000 frames played: 0 wins, 1 losses, 0 draws, 54864 terminations, 1383 legal NN moves.
61000 frames played: 0 wins, 1 losses, 0 draws, 55846 terminations, 1401 legal NN moves.
62000 frames played: 0 wins, 1 losses, 0 draws, 56830 terminations, 1416 legal NN moves.
63000 frames played: 0 wins, 1 losses, 0 draws, 57778 terminations, 1467 legal NN moves.
64000 frames played: 0 wins, 1 losses, 0 draws, 58730 terminations, 1514 legal NN moves.
65000 frames played: 0 wins, 1 losses, 0 draws, 59727 terminations, 1517 legal NN moves.
66000 frames played: 0 wins, 1 losses, 0 draws, 60694 terminations, 1549 legal NN moves.
67000 frames played: 0 wins, 1 losses, 0 draws, 61688 terminations, 1555 legal NN moves.
68000 frames played: 0 wins, 1 losses, 0 draws, 62654 terminations, 1589 legal NN moves.
69000 frames played: 0 wins, 1 losses, 0 draws, 63611 terminations, 1632 legal NN moves.
70000 frames played: 0 wins, 1 losses, 0 draws, 64592 terminations, 1650 legal NN moves.
71000 frames played: 0 wins, 1 losses, 0 draws, 65576 terminations, 1666 legal NN moves.
72000 frames played: 0 wins, 1 losses, 0 draws, 66568 terminations, 1674 legal NN moves.
73000 frames played: 0 wins, 1 losses, 0 draws, 67529 terminations, 1713 legal NN moves.
74000 frames played: 0 wins, 1 losses, 0 draws, 68496 terminations, 1745 legal NN moves.
75000 frames played: 0 wins, 1 losses, 0 draws, 69489 terminations, 1752 legal NN moves.
76000 frames played: 0 wins, 1 losses, 0 draws, 70476 terminations, 1765 legal NN moves.
