# ended because of an error
1000 frames played: 0 wins, 0 losses, 0 draws, 175 terminations.
2000 frames played: 0 wins, 0 losses, 0 draws, 415 terminations.
3000 frames played: 0 wins, 0 losses, 0 draws, 651 terminations.
4000 frames played: 0 wins, 0 losses, 0 draws, 899 terminations.
5000 frames played: 0 wins, 1 losses, 0 draws, 1116 terminations.
6000 frames played: 0 wins, 1 losses, 0 draws, 1315 terminations.
7000 frames played: 0 wins, 1 losses, 0 draws, 1501 terminations.
8000 frames played: 0 wins, 1 losses, 0 draws, 1674 terminations.
9000 frames played: 0 wins, 1 losses, 0 draws, 1816 terminations.
10000 frames played: 0 wins, 1 losses, 0 draws, 1923 terminations.
11000 frames played: 0 wins, 1 losses, 0 draws, 2024 terminations.
12000 frames played: 0 wins, 2 losses, 0 draws, 2102 terminations.
13000 frames played: 0 wins, 2 losses, 0 draws, 2171 terminations.
14000 frames played: 0 wins, 2 losses, 0 draws, 2227 terminations.
15000 frames played: 0 wins, 2 losses, 0 draws, 2274 terminations.
16000 frames played: 0 wins, 2 losses, 0 draws, 2315 terminations.
17000 frames played: 0 wins, 2 losses, 0 draws, 2347 terminations.
18000 frames played: 0 wins, 2 losses, 2 draws, 2368 terminations.
19000 frames played: 0 wins, 2 losses, 2 draws, 2390 terminations.
20000 frames played: 1 wins, 2 losses, 3 draws, 2404 terminations.
21000 frames played: 1 wins, 3 losses, 3 draws, 2424 terminations.
22000 frames played: 1 wins, 3 losses, 3 draws, 2447 terminations.
23000 frames played: 2 wins, 6 losses, 3 draws, 2467 terminations.
24000 frames played: 2 wins, 6 losses, 3 draws, 2490 terminations.
25000 frames played: 2 wins, 6 losses, 4 draws, 2513 terminations.
26000 frames played: 2 wins, 6 losses, 6 draws, 2523 terminations.
27000 frames played: 2 wins, 6 losses, 8 draws, 2533 terminations.
28000 frames played: 2 wins, 7 losses, 8 draws, 2551 terminations.
29000 frames played: 2 wins, 7 losses, 9 draws, 2566 terminations.
30000 frames played: 2 wins, 8 losses, 9 draws, 2582 terminations.
31000 frames played: 3 wins, 9 losses, 10 draws, 2591 terminations.
32000 frames played: 4 wins, 9 losses, 11 draws, 2606 terminations.
33000 frames played: 5 wins, 11 losses, 11 draws, 2618 terminations.
34000 frames played: 5 wins, 11 losses, 12 draws, 2630 terminations.

# ended because NN was not learning valid moves -> illegal moves were being corrected
1000 frames played: 1 wins, 0 losses, 0 draws, 193 terminations, 3 legal NN moves.
2000 frames played: 1 wins, 0 losses, 0 draws, 430 terminations, 4 legal NN moves.
3000 frames played: 1 wins, 0 losses, 0 draws, 657 terminations, 5 legal NN moves.
4000 frames played: 1 wins, 0 losses, 0 draws, 918 terminations, 12 legal NN moves.
5000 frames played: 1 wins, 0 losses, 0 draws, 1192 terminations, 39 legal NN moves.
6000 frames played: 1 wins, 0 losses, 0 draws, 1458 terminations, 47 legal NN moves.
7000 frames played: 1 wins, 0 losses, 0 draws, 1691 terminations, 58 legal NN moves.
8000 frames played: 1 wins, 1 losses, 0 draws, 1914 terminations, 62 legal NN moves.
9000 frames played: 1 wins, 1 losses, 0 draws, 2131 terminations, 66 legal NN moves.
10000 frames played: 1 wins, 2 losses, 0 draws, 2335 terminations, 70 legal NN moves.
11000 frames played: 1 wins, 2 losses, 0 draws, 2545 terminations, 71 legal NN moves.
12000 frames played: 1 wins, 2 losses, 0 draws, 2717 terminations, 81 legal NN moves.
13000 frames played: 1 wins, 2 losses, 0 draws, 2877 terminations, 90 legal NN moves.
14000 frames played: 1 wins, 3 losses, 0 draws, 3044 terminations, 96 legal NN moves.
15000 frames played: 1 wins, 4 losses, 0 draws, 3194 terminations, 104 legal NN moves.
16000 frames played: 1 wins, 4 losses, 0 draws, 3324 terminations, 105 legal NN moves.
17000 frames played: 1 wins, 4 losses, 0 draws, 3439 terminations, 111 legal NN moves.
18000 frames played: 3 wins, 5 losses, 0 draws, 3551 terminations, 113 legal NN moves.
19000 frames played: 3 wins, 5 losses, 0 draws, 3652 terminations, 116 legal NN moves.
20000 frames played: 3 wins, 5 losses, 0 draws, 3759 terminations, 123 legal NN moves.
21000 frames played: 3 wins, 5 losses, 0 draws, 3848 terminations, 130 legal NN moves.
22000 frames played: 4 wins, 5 losses, 0 draws, 3940 terminations, 131 legal NN moves.
23000 frames played: 4 wins, 5 losses, 0 draws, 4016 terminations, 133 legal NN moves.
24000 frames played: 4 wins, 5 losses, 0 draws, 4079 terminations, 134 legal NN moves.
25000 frames played: 4 wins, 5 losses, 0 draws, 4138 terminations, 135 legal NN moves.
26000 frames played: 4 wins, 5 losses, 0 draws, 4192 terminations, 139 legal NN moves.
27000 frames played: 4 wins, 5 losses, 0 draws, 4251 terminations, 140 legal NN moves.
28000 frames played: 4 wins, 5 losses, 0 draws, 4309 terminations, 141 legal NN moves.
29000 frames played: 4 wins, 5 losses, 1 draws, 4356 terminations, 142 legal NN moves.
30000 frames played: 4 wins, 5 losses, 1 draws, 4400 terminations, 143 legal NN moves.
31000 frames played: 4 wins, 5 losses, 1 draws, 4436 terminations, 149 legal NN moves.
32000 frames played: 4 wins, 5 losses, 1 draws, 4466 terminations, 149 legal NN moves.
33000 frames played: 4 wins, 5 losses, 1 draws, 4498 terminations, 150 legal NN moves.
34000 frames played: 4 wins, 5 losses, 1 draws, 4528 terminations, 153 legal NN moves.
35000 frames played: 5 wins, 5 losses, 1 draws, 4553 terminations, 155 legal NN moves.
36000 frames played: 5 wins, 6 losses, 3 draws, 4568 terminations, 158 legal NN moves.
37000 frames played: 5 wins, 6 losses, 3 draws, 4582 terminations, 161 legal NN moves.
38000 frames played: 6 wins, 6 losses, 3 draws, 4601 terminations, 161 legal NN moves.
39000 frames played: 7 wins, 8 losses, 4 draws, 4617 terminations, 165 legal NN moves.
40000 frames played: 7 wins, 8 losses, 5 draws, 4628 terminations, 167 legal NN moves.
41000 frames played: 7 wins, 8 losses, 6 draws, 4643 terminations, 168 legal NN moves.
42000 frames played: 7 wins, 9 losses, 6 draws, 4655 terminations, 169 legal NN moves.
43000 frames played: 8 wins, 9 losses, 8 draws, 4662 terminations, 170 legal NN moves.
44000 frames played: 8 wins, 10 losses, 9 draws, 4668 terminations, 173 legal NN moves.
45000 frames played: 8 wins, 11 losses, 11 draws, 4675 terminations, 176 legal NN moves.
46000 frames played: 9 wins, 11 losses, 13 draws, 4682 terminations, 176 legal NN moves.
47000 frames played: 9 wins, 11 losses, 16 draws, 4687 terminations, 178 legal NN moves.
48000 frames played: 9 wins, 11 losses, 17 draws, 4697 terminations, 179 legal NN moves.
49000 frames played: 9 wins, 11 losses, 19 draws, 4703 terminations, 184 legal NN moves.
50000 frames played: 10 wins, 11 losses, 22 draws, 4707 terminations, 187 legal NN moves.
51000 frames played: 12 wins, 11 losses, 26 draws, 4711 terminations, 191 legal NN moves.
52000 frames played: 12 wins, 11 losses, 28 draws, 4715 terminations, 191 legal NN moves.
53000 frames played: 12 wins, 11 losses, 31 draws, 4720 terminations, 194 legal NN moves.
54000 frames played: 13 wins, 11 losses, 34 draws, 4723 terminations, 197 legal NN moves.
55000 frames played: 14 wins, 12 losses, 37 draws, 4724 terminations, 198 legal NN moves.
56000 frames played: 15 wins, 12 losses, 41 draws, 4725 terminations, 200 legal NN moves.
57000 frames played: 15 wins, 12 losses, 44 draws, 4728 terminations, 203 legal NN moves.
58000 frames played: 16 wins, 12 losses, 49 draws, 4728 terminations, 204 legal NN moves.
59000 frames played: 16 wins, 13 losses, 53 draws, 4731 terminations, 206 legal NN moves.
60000 frames played: 17 wins, 13 losses, 56 draws, 4735 terminations, 208 legal NN moves.

## Struggling to learn legal moves
1000 frames played: 0 wins, 0 losses, 0 draws, 596 terminations, 54 legal NN moves.
2000 frames played: 0 wins, 0 losses, 0 draws, 1238 terminations, 62 legal NN moves.
3000 frames played: 0 wins, 0 losses, 0 draws, 1924 terminations, 75 legal NN moves.
4000 frames played: 0 wins, 0 losses, 0 draws, 2636 terminations, 95 legal NN moves.
5000 frames played: 0 wins, 0 losses, 0 draws, 3373 terminations, 120 legal NN moves.
6000 frames played: 0 wins, 0 losses, 0 draws, 4139 terminations, 134 legal NN moves.
7000 frames played: 0 wins, 0 losses, 0 draws, 4925 terminations, 164 legal NN moves.
8000 frames played: 0 wins, 0 losses, 0 draws, 5751 terminations, 194 legal NN moves.
9000 frames played: 0 wins, 0 losses, 0 draws, 6580 terminations, 209 legal NN moves.
10000 frames played: 0 wins, 0 losses, 0 draws, 7414 terminations, 233 legal NN moves.
11000 frames played: 0 wins, 0 losses, 0 draws, 8241 terminations, 267 legal NN moves.
12000 frames played: 0 wins, 0 losses, 0 draws, 9049 terminations, 340 legal NN moves.
